Subject,Topic,SubTopic,Question,Answer,Done,ReviewLater,LessImportant,Starred,Order,SubjectOrder,TopicOrder,SubTopicOrder
Introduction,General,Previous Question Bank,Tell me about yourself,"<div data-qid=""q-5hkdopvm""><div data-bs-parent=""#qAcc-xhlde6v1""><div><div><div><h3>Tech Lead Interview Preparation - 11 Years Experience</h3><div><p><strong>Core Expectations:</strong></p><ul><li><strong>Who you are:</strong>&nbsp;Sathish - Angular / Java Full Stack Developer (B.E. Computer Science)</li><li><strong>Experience:</strong>&nbsp;11 years in software engineering</li><li><strong>Tech Stack:</strong>&nbsp;Java, Spring Boot, SQL, Angular, React, Kafka, RabbitMQ, Elasticsearch, Docker, Kubernetes</li><li><strong>Current Role:</strong>&nbsp;Technical Lead at HCLTech for a US-based Healthcare client</li><li><strong>Responsibilities:</strong>&nbsp;Hands-on development, solution design, code reviews, mentoring, Agile/SAFe execution</li><li><strong>Continuous Learning:</strong>&nbsp;Exploring Agentic AI for developer efficiency</li><li><strong>Reason for change:</strong>&nbsp;Contribute to larger-scale systems and grow as a full-stack technical leader</li></ul></div><div><p><strong>Delivery Tips:</strong>&nbsp;Speak naturally, keep it to 50-60 seconds, and focus on growth rather than leaving your current employer.</p><p><strong>Mnemonic:</strong>&nbsp;SBCDEPADACL (Sathish, Currently, Began, Domain, Expertise, Product owners, Architects, DevOps, Agile, Continuous learner, Looking for change)</p></div><div><h3>Pitch Option 1 (~60 Seconds)</h3><p>Hi, I'm Sathish. I completed my B.E. in Computer Science and have around 11 years of experience in software development, primarily building enterprise Java applications.</p><p>Currently, I'm working as a Technical Lead at HCLTech, where I lead the development of Java Spring Boot microservices and full-stack applications. My primary technical skills include Java, Spring Boot, SQL, Angular, Kafka, Elasticsearch, and RabbitMQ.</p><p>In my current role, apart from hands-on development, I also work on solution design, code reviews, mentoring team members, and collaborating with cross-functional teams to deliver scalable and reliable applications.</p><p>I'm now looking for an opportunity where I can take on more challenging technical problems, contribute to large-scale systems, and continue growing as a full-stack technical leader.</p></div><div><h3>Pitch Option 2 (~45 Seconds)</h3><p>Hi, I'm Sathish. I have a B.E. in Computer Science and around 11 years of experience in Java full-stack development. Currently, I'm working as a Technical Lead at HCLTech, developing enterprise applications using Java, Spring Boot, SQL, Angular, Kafka, Elasticsearch, and RabbitMQ.</p><p>My role involves designing solutions, developing microservices, reviewing code, mentoring developers, and working closely with business stakeholders. I'm now looking for a role where I can work on challenging projects, contribute to scalable systems, and continue growing technically.</p></div></div></div></div></div></div><div data-qid=""q-i9ozaeda""><h2>",false,false,false,true,0,0,0,0
Introduction,General,Previous Question Bank,Explain your current project,"The project is a web portal for digital aircraft maintenance manual
	Like we versioning different editions of books this web portal is used to customize manual to aircraft customer based on their flight configuration
	It is a cloud based spring boot microservice application which also support offline mode for tab users
	
	We used 
		Modularized Angular application as a frontend 
		customized Authentication & Authorization service using authentication token
		elasticsearch for index, search & filtering documents
		RabbitMQ for event based communication
		Camunda for Workflow based approval and publish of documents 
		
	I worked on customizing elastic search for offline application using angular & elasticsearch js plugin 
	UI & Backend related tasks for filtering documents based on tags usings facets similar to ecommerce websites like Amazon 
	Version controlling documents similar to Git branches using rabbitmq & camunda 
	HOTFIX ",false,false,false,false,13,0,0,0
Introduction,General,Previous Question Bank,Agile process - how feature is travelled,"PI -> 3 sprints 1 Innovation&Planning(IP) sprint-> feature -> user story -> task -> sub-task -> bug -> SR ",false,false,false,false,7,0,0,0
Introduction,General,Previous Question Bank,How will you secure your endpoint,"handle CSRF, middlewere, throttle (DDOS - Distribution of Deniel of service attack), authentication & auhtorization, oauth - clientId",false,false,false,false,19,0,0,0
Introduction,General,Previous Question Bank,OSI layers,,false,false,false,false,12,0,0,0
Introduction,General,Previous Question Bank,SOLID & GoF Design Patterns in Java,,false,false,false,false,18,0,0,0
Introduction,General,Previous Question Bank,How to implement singleton or prototype design pattern,,false,false,false,false,17,0,0,0
Introduction,General,Previous Question Bank,What is factory design pattern,,false,false,false,false,16,0,0,0
Introduction,General,Previous Question Bank,What is the use of cors & htaccess,,false,false,false,false,11,0,0,0
Introduction,General,Previous Question Bank,gzip,,false,false,false,false,10,0,0,0
